"","Survived","Pclass","Sex","Age","Fare","Embarked","FamilySize"
"1","0","3","male",22,7.25,"S",2
"2","1","1","female",38,71.2833,"C",2
"3","1","3","female",26,7.925,"S",1
"4","1","1","female",35,53.1,"S",2
"5","0","3","male",35,8.05,"S",1
"6","0","3","male",24,8.4583,"Q",1
"7","0","1","male",54,51.8625,"S",1
"8","0","3","male",2,21.075,"S",5
"9","1","3","female",27,11.1333,"S",3
"10","1","2","female",14,30.0708,"C",2
"11","1","3","female",4,16.7,"S",3
"12","1","1","female",58,26.55,"S",1
"13","0","3","male",20,8.05,"S",1
"14","0","3","male",39,31.275,"S",7
"15","0","3","female",14,7.8542,"S",1
"16","1","2","female",55,16,"S",1
"17","0","3","male",2,29.125,"Q",6
"18","1","2","male",29,13,"S",1
"19","0","3","female",31,18,"S",2
"20","1","3","female",24,7.225,"C",1
"21","0","2","male",35,26,"S",1
"22","1","2","male",34,13,"S",1
"23","1","3","female",15,8.0292,"Q",1
"24","1","1","male",28,35.5,"S",1
"25","0","3","female",8,21.075,"S",5
"26","1","3","female",38,31.3875,"S",7
"27","0","3","male",24,7.225,"C",1
"28","0","1","male",19,263,"S",6
"29","1","3","female",24,7.8792,"Q",1
"30","0","3","male",24,7.8958,"S",1
"31","0","1","male",40,27.7208,"C",1
"32","1","1","female",39,146.5208,"C",2
"33","1","3","female",24,7.75,"Q",1
"34","0","2","male",66,10.5,"S",1
"35","0","1","male",28,82.1708,"C",2
"36","0","1","male",42,52,"S",2
"37","1","3","male",24,7.2292,"C",1
"38","0","3","male",21,8.05,"S",1
"39","0","3","female",18,18,"S",3
"40","1","3","female",14,11.2417,"C",2
"41","0","3","female",40,9.475,"S",2
"42","0","2","female",27,21,"S",2
"43","0","3","male",24,7.8958,"C",1
"44","1","2","female",3,41.5792,"C",4
"45","1","3","female",19,7.8792,"Q",1
"46","0","3","male",24,8.05,"S",1
"47","0","3","male",24,15.5,"Q",2
"48","1","3","female",24,7.75,"Q",1
"49","0","3","male",24,21.6792,"C",3
"50","0","3","female",18,17.8,"S",2
"51","0","3","male",7,39.6875,"S",6
"52","0","3","male",21,7.8,"S",1
"53","1","1","female",49,76.7292,"C",2
"54","1","2","female",29,26,"S",2
"55","0","1","male",65,61.9792,"C",2
"56","1","1","male",39,35.5,"S",1
"57","1","2","female",21,10.5,"S",1
"58","0","3","male",28.5,7.2292,"C",1
"59","1","2","female",5,27.75,"S",4
"60","0","3","male",11,46.9,"S",8
"61","0","3","male",22,7.2292,"C",1
"62","1","1","female",38,80,"S",1
"63","0","1","male",45,83.475,"S",2
"64","0","3","male",4,27.9,"S",6
"65","0","1","male",39,27.7208,"C",1
"66","1","3","male",24,15.2458,"C",3
"67","1","2","female",29,10.5,"S",1
"68","0","3","male",19,8.1583,"S",1
"69","1","3","female",17,7.925,"S",7
"70","0","3","male",26,8.6625,"S",3
"71","0","2","male",32,10.5,"S",1
"72","0","3","female",16,46.9,"S",8
"73","0","2","male",21,73.5,"S",1
"74","0","3","male",26,14.4542,"C",2
"75","1","3","male",32,56.4958,"S",1
"76","0","3","male",25,7.65,"S",1
"77","0","3","male",24,7.8958,"S",1
"78","0","3","male",24,8.05,"S",1
"79","1","2","male",0.83,29,"S",3
"80","1","3","female",30,12.475,"S",1
"81","0","3","male",22,9,"S",1
"82","1","3","male",29,9.5,"S",1
"83","1","3","female",24,7.7875,"Q",1
"84","0","1","male",28,47.1,"S",1
"85","1","2","female",17,10.5,"S",1
"86","1","3","female",33,15.85,"S",4
"87","0","3","male",16,34.375,"S",5
"88","0","3","male",24,8.05,"S",1
"89","1","1","female",23,263,"S",6
"90","0","3","male",24,8.05,"S",1
"91","0","3","male",29,8.05,"S",1
"92","0","3","male",20,7.8542,"S",1
"93","0","1","male",46,61.175,"S",2
"94","0","3","male",26,20.575,"S",4
"95","0","3","male",59,7.25,"S",1
"96","0","3","male",24,8.05,"S",1
"97","0","1","male",71,34.6542,"C",1
"98","1","1","male",23,63.3583,"C",2
"99","1","2","female",34,23,"S",2
"100","0","2","male",34,26,"S",2
"101","0","3","female",28,7.8958,"S",1
"102","0","3","male",24,7.8958,"S",1
"103","0","1","male",21,77.2875,"S",2
"104","0","3","male",33,8.6542,"S",1
"105","0","3","male",37,7.925,"S",3
"106","0","3","male",28,7.8958,"S",1
"107","1","3","female",21,7.65,"S",1
"108","1","3","male",24,7.775,"S",1
"109","0","3","male",38,7.8958,"S",1
"110","1","3","female",24,24.15,"Q",2
"111","0","1","male",47,52,"S",1
"112","0","3","female",14.5,14.4542,"C",2
"113","0","3","male",22,8.05,"S",1
"114","0","3","female",20,9.825,"S",2
"115","0","3","female",17,14.4583,"C",1
"116","0","3","male",21,7.925,"S",1
"117","0","3","male",70.5,7.75,"Q",1
"118","0","2","male",29,21,"S",2
"119","0","1","male",24,247.5208,"C",2
"120","0","3","female",2,31.275,"S",7
"121","0","2","male",21,73.5,"S",3
"122","0","3","male",24,8.05,"S",1
"123","0","2","male",32.5,30.0708,"C",2
"124","1","2","female",32.5,13,"S",1
"125","0","1","male",54,77.2875,"S",2
"126","1","3","male",12,11.2417,"C",2
"127","0","3","male",24,7.75,"Q",1
"128","1","3","male",24,7.1417,"S",1
"129","1","3","female",24,22.3583,"C",3
"130","0","3","male",45,6.975,"S",1
"131","0","3","male",33,7.8958,"C",1
"132","0","3","male",20,7.05,"S",1
"133","0","3","female",47,14.5,"S",2
"134","1","2","female",29,26,"S",2
"135","0","2","male",25,13,"S",1
"136","0","2","male",23,15.0458,"C",1
"137","1","1","female",19,26.2833,"S",3
"138","0","1","male",37,53.1,"S",2
"139","0","3","male",16,9.2167,"S",1
"140","0","1","male",24,79.2,"C",1
"141","0","3","female",24,15.2458,"C",3
"142","1","3","female",22,7.75,"S",1
"143","1","3","female",24,15.85,"S",2
"144","0","3","male",19,6.75,"Q",1
"145","0","2","male",18,11.5,"S",1
"146","0","2","male",19,36.75,"S",3
"147","1","3","male",27,7.7958,"S",1
"148","0","3","female",9,34.375,"S",5
"149","0","2","male",36.5,26,"S",3
"150","0","2","male",42,13,"S",1
"151","0","2","male",51,12.525,"S",1
"152","1","1","female",22,66.6,"S",2
"153","0","3","male",55.5,8.05,"S",1
"154","0","3","male",40.5,14.5,"S",3
"155","0","3","male",24,7.3125,"S",1
"156","0","1","male",51,61.3792,"C",2
"157","1","3","female",16,7.7333,"Q",1
"158","0","3","male",30,8.05,"S",1
"159","0","3","male",24,8.6625,"S",1
"160","0","3","male",24,69.55,"S",11
"161","0","3","male",44,16.1,"S",2
"162","1","2","female",40,15.75,"S",1
"163","0","3","male",26,7.775,"S",1
"164","0","3","male",17,8.6625,"S",1
"165","0","3","male",1,39.6875,"S",6
"166","1","3","male",9,20.525,"S",3
"167","1","1","female",39,55,"S",2
"168","0","3","female",45,27.9,"S",6
"169","0","1","male",39,25.925,"S",1
"170","0","3","male",28,56.4958,"S",1
"171","0","1","male",61,33.5,"S",1
"172","0","3","male",4,29.125,"Q",6
"173","1","3","female",1,11.1333,"S",3
"174","0","3","male",21,7.925,"S",1
"175","0","1","male",56,30.6958,"C",1
"176","0","3","male",18,7.8542,"S",3
"177","0","3","male",24,25.4667,"S",5
"178","0","1","female",50,28.7125,"C",1
"179","0","2","male",30,13,"S",1
"180","0","3","male",36,7.6958,"S",1
"181","0","3","female",24,69.55,"S",11
"182","0","2","male",29,15.05,"C",1
"183","0","3","male",9,31.3875,"S",7
"184","1","2","male",1,39,"S",4
"185","1","3","female",4,22.025,"S",3
"186","0","1","male",39,50,"S",1
"187","1","3","female",24,15.5,"Q",2
"188","1","1","male",45,26.55,"S",1
"189","0","3","male",40,15.5,"Q",3
"190","0","3","male",36,7.8958,"S",1
"191","1","2","female",32,13,"S",1
"192","0","2","male",19,13,"S",1
"193","1","3","female",19,7.8542,"S",2
"194","1","2","male",3,26,"S",3
"195","1","1","female",44,27.7208,"C",1
"196","1","1","female",58,146.5208,"C",1
"197","0","3","male",24,7.75,"Q",1
"198","0","3","male",42,8.4042,"S",2
"199","1","3","female",24,7.75,"Q",1
"200","0","2","female",24,13,"S",1
"201","0","3","male",28,9.5,"S",1
"202","0","3","male",24,69.55,"S",11
"203","0","3","male",34,6.4958,"S",1
"204","0","3","male",45.5,7.225,"C",1
"205","1","3","male",18,8.05,"S",1
"206","0","3","female",2,10.4625,"S",2
"207","0","3","male",32,15.85,"S",2
"208","1","3","male",26,18.7875,"C",1
"209","1","3","female",16,7.75,"Q",1
"210","1","1","male",40,31,"C",1
"211","0","3","male",24,7.05,"S",1
"212","1","2","female",35,21,"S",1
"213","0","3","male",22,7.25,"S",1
"214","0","2","male",30,13,"S",1
"215","0","3","male",24,7.75,"Q",2
"216","1","1","female",31,113.275,"C",2
"217","1","3","female",27,7.925,"S",1
"218","0","2","male",42,27,"S",2
"219","1","1","female",32,76.2917,"C",1
"220","0","2","male",30,10.5,"S",1
"221","1","3","male",16,8.05,"S",1
"222","0","2","male",27,13,"S",1
"223","0","3","male",51,8.05,"S",1
"224","0","3","male",24,7.8958,"S",1
"225","1","1","male",38,90,"S",2
"226","0","3","male",22,9.35,"S",1
"227","1","2","male",19,10.5,"S",1
"228","0","3","male",20.5,7.25,"S",1
"229","0","2","male",18,13,"S",1
"230","0","3","female",24,25.4667,"S",5
"231","1","1","female",35,83.475,"S",2
"232","0","3","male",29,7.775,"S",1
"233","0","2","male",59,13.5,"S",1
"234","1","3","female",5,31.3875,"S",7
"235","0","2","male",24,10.5,"S",1
"236","0","3","female",24,7.55,"S",1
"237","0","2","male",44,26,"S",2
"238","1","2","female",8,26.25,"S",3
"239","0","2","male",19,10.5,"S",1
"240","0","2","male",33,12.275,"S",1
"241","0","3","female",24,14.4542,"C",2
"242","1","3","female",24,15.5,"Q",2
"243","0","2","male",29,10.5,"S",1
"244","0","3","male",22,7.125,"S",1
"245","0","3","male",30,7.225,"C",1
